,Name,Code,ICAO
602,Dornier Aviation Nigeria Aiep,DO,DAV
603,Douniah Airlines,DH,DTS
604,DragonFly Executive,,CBM
605,Dreamline Aviation,,DLX
606,DRF Luftrettung,1I,AMB
607,Druk Air,KB,DRK
608,Dubai Air Wing,,DUB
609,E+S Air,,CAH
610,E-Aviation,,EFD
611,E-Cargo Airlines,RF,ERF
612,EADS CASA,,AED
613,Eagle Air,,EGU
614,Eagle Air Iceland,,FEI
615,Eagle Atlantic Airlines,,EAB
616,Eagle Creek Aviation,,EGC
617,EagleMed,,EMD
618,East Coast Jets,,ECJ
619,East-West Express,,EWU
620,Eastar Jet,ZE,ESR
621,Eastern Airlines,2D,EAL
622,Eastern Airways,T3,EZE
623,Eastern Australia Airlines,,EAQ
624,Easy Charter,RD,LOL
625,EasyFly,VE,EFY
626,easyJet,U2,EZY
627,easyJet Europe,EC,EJU
628,easyJet Switzerland,DS,EZS
629,EATIS,,SRK
630,Eclair Aviation,,ECC
631,ECO Airlines,,EKO
632,EcoJet,8J,ECO
633,Edelweiss Air,WK,EDW
634,EGT Jet,,EGT
635,EgyptAir,MS,MSR
636,EgyptAir Cargo,,MSX
637,EJM Europe,,JME
638,El Al,LY,ELY
639,Electra Airways,,EAF
640,Elifriulia,,EFG
641,Elilombarda,,EOA
642,Eliossola,,EOS
643,Elitaliana,,ELA
644,Elitavia,,EAV
645,Elitavia Malta,MA,EAU
646,Elite Air,,ELZ
647,Elite Airways,7Q,MNU
648,Elitellina,,FGS
649,Embraer,,EMB
650,Emerald Airlines,EA,EAI
651,Emerald Airlines UK,,EAG
652,Emetebe.com.ec,,EMT
653,Emirates,EK,UAE
654,Emirates Flight Training Academy,,EFC
655,Emperor Aviation,,EMM
656,Empire Airlines,EM,CFS
657,Empire Aviation,,MJE
658,Empyreal Jet,,RLJ
659,ENAC Ecole Aviation Civile,,NAK
660,Encore Air Cargo,,DKT
661,Endeavor Air,9E,EDV
662,Enter Air,E4,ENT
663,Envoy Air,MQ,ENY
664,Epsilon Aviation,,GRV
665,Equair,HN,EQX
666,Estafeta,E7,ESF
667,Estelar,ES,ETR
668,ETF Airways,LI,EZZ
669,Ethiopian Airlines,ET,ETH
670,Etihad Airways,EY,ETD
671,Euro Link,,EUL
672,Euro-Asia Air,5B,EAK
673,EuroAtlantic Airways,YU,MMZ
674,Eurocopter Deutschland,,RDF
675,European Air Charter,H6,BUC
676,European Air Transport,QY,BCS
677,European Cargo,,URO
678,European Flight Academy,,PTO
679,European Flight Service,,EUW
680,European Flyers,,FYS
681,European SAO,,EKT
682,Eurowings,EW,EWG
683,Eurowings Austria,E2,EWE
684,Eurowings Discover,4Y,OCN
685,Eurowings Europe,E6,EWL
686,EVA Air,BR,EVA
687,Everts Air Alaska,5V,VTS
688,EWA Air,ZD,EWR
689,Excellent Air,,ECA
690,Execuflight,,EFT
691,Execujet Middle East,,EJO
692,Execujet Scandinavia,,VMP
693,Executive Jet Charter,,EXJ
694,Executive Jet Management,,EJM
695,Exploits Valley Air Services,8K,EVS
696,Express Air Cargo,7A,XRC
697,Express Freighters Australia,QE,EFA
698,ExpressJet Airlines,XE,BTA
699,Exxaero,,XRO
700,EZ Air,7Z,EZR
701,Eznis Airways,MG,EZA
702,FAI rent-a-jet,,IFA
703,Far Eastern Air Transport,FE,FEA
704,Fast Air,,PBR
705,Fastjet Zimbabwe,FN,FJW
706,FedEx,FX,FDX
707,Fenix Air Charter,,FNX
708,Feuerwehr-Flugdienst Niedersachsen,,FFD
709,Fiji Airways,FJ,FJI
710,Fiji Link,,FJA
711,Finistair,,FTR
712,Finnair,AY,FIN
713,FinnHEMS,,FIH
714,Firefly,FY,FFM
715,First Air,7F,FAB
716,First Nation Airways,,FRN
717,FitsAir,8D,EXV
718,Flair Airlines,F8,FLE
719,Fleet Air International,,FRF
720,Flexflight,W2,FXT
721,Flexjet,,LXJ
722,Flexjet Europe,,FLJ
723,Flexjet Operations Malta,,FJO
724,Flight Calibration Services,,FCK
725,Flight Calibration Services,,VOR
726,Flight options,,OPT
727,Flight Training Europe,,AYR
728,FlightExec,,FEX
729,Flightline,,FTL
730,Flightlink,YS,FLZ
731,Flightpath Charter Airways,,KNT
732,Fltplan,,DCM
733,Flugfelag Islands,NY,FXI
734,Fly 7,,FSF
735,Fly Across,,ACW
736,Fly Air41,,BER
737,Fly AllWays,8W,EDR
738,Fly Angola,EQ,FLA
739,Fly Armenia Airways,VF,FBB
740,Fly Art,T2,FLB
741,Fly Baghdad,IF,FBA
742,Fly Gangwon,4V,FGW
743,Fly Jamaica,OJ,FJM
744,Fly Jinnah,9P,FJL
745,Fly Jordan,F0,FJR
746,Fly Oya,YI,OYA
747,Fly Pro,FP,PVV
748,Fly SAX,,EXZ
749,Fly Sky Airlines,,FSQ
750,Fly Sky Airlines,,FSU
751,Fly Tyrol,,FTY
752,Fly2Sky,F6,VAW
753,Fly540,5H,FFV
